score,comment,reply
2.5,订大床，给安排双床。房间在十字路口，比较吵，停车位没几个，白天到的没什么问题晚上到就不用想停车位了，酒店装修老化，早餐种类少，跟价格不符,无
1.7,洗发水有浓重的化学味道，没有一点点的香味，我都担心洗完掉头发，好可怕。前台是我见过的态度最差的，我说希望延迟1小时退房，直接拒，态度很*,无
2.5,前台服务差，设施老旧坡坏，,尊敬的宾客，非常感谢您给予的宝贵建议，在服务细节上，酒店一定会加强对员工服务意识及细节的培训，愿您下次入住时会有更好的体验，期待您的下次光临！
2.7,前台服务人员态度不好,尊敬的宾客，非常感谢您给予的宝贵建议，在服务细节上，酒店一定会加强对员工服务意识及细节的培训，愿您下次入住时会有更好的体验，期待您的下次光临！
2.7,前台服务很差，不，没有服务，态度很差。,尊敬的宾客：您好！非常遗憾没能给到您满意的入住体验，对此相关一定会加强服务细节的培训和督导，期待下次入住给到您满意的体验。
2.5,前台接待很不专业,尊敬的宾客，非常感谢您给予的宝贵建议，在服务细节上，酒店一定会加强对专业知识的培训，愿您下次入住时会有更好的体验，期待您的下次光临！
1.7,不太好不太好,尊敬的宾客：您好！非常遗憾没能给您带来满意的入住体验，也希望多多给予酒店合理化得建议，忠心期待您的再次光临！
2.2,除了位置好下楼就是地铁以外没有其他优点，早饭是单人份的 设施老旧，停车位狭小就那么几个位置能不能停全靠运气，前台是上海阿姨，态度傲慢没有一点宾至如归的感觉,尊敬的宾客：您好！首先感谢入住我们酒店，酒店每种房型的价格有两种：一是单早的价格，二是双早的价格，可能预定时您没有注意到，服务方面酒店相关部门一定会加强培训和督导，期待下次入住给到您一个满意的体验。
2.7,设施有点陈旧,无
2.2,太差了，前台服务差，房间老,尊敬的宾客您好！非常抱歉没能让您有个满意的入住体验，您所反映的问题，相关部门也会加强细节方面的培训和督导，期待下次让您有一个满意的入住体验。
2.5,太失败了。整个一个老旧宾馆，还不到168的水平，却收4星级的价格。早餐也没有汉庭好。（汉庭已经很差了）再也不会去住了。以后要怀疑携程的评分，对这家酒店，实在不准。,无
2.7,虽然说不能主动提供牙刷了，但要了也不提供。。。整体感觉像个老招待所的服务水平，反正不开心,无
2.2,这次是陪孩子高考入住的酒店直营品质保证的豪华房，不满意:1.床单边缘是破的；2.地毯很脏；3.空调有异响，修了两次，声音没了，但临走的前一晚又有了，还好，孩子已考完，反正第二天要退房了，没再找酒店；4.服务员整理房间只是粗粗搞一下，不是很认真。总之，与所谓的四星级不相符。,无
2.5,没有早餐，前台服务很一般,尊敬的宾客：您好！非常感谢入住我们酒店，也感谢给予我们相关部门的建议，酒店一定会加强服务细节的培训及督导，期待您的下次入住。
2.7,在闹市，布草干净。,无
1.7,酒店太差了 前台态度极差 价格也不低 ,无
2.5,酒店还可以，但是我要求住安静的，不靠大马路的房间。还是给我安排了靠马路的酒店，一晚上么睡好。差评,无
2.7,难得吐槽一下，酒店前台连完成预售权都弄不明白，完成了又多刷了一笔，等于住一天收了两笔钱，问什么时候退也说不清，像是农民进城开的旅店，太不靠谱啦！,尊敬的宾客：您好！感谢您入住我们酒店，您所提到银行卡预授权问题，当天结算本想从您预授权里扣除您的实际消费，不知是什么原因（事后联系银行确认银行后台出点状况），并没有把完成的金额小票打印出来，所以前台建议您刷了一笔消费。当您离店后不久，银行工作人员来电告知，您完成的金额已经冲正退还到您的卡上，由此给您带来的不便，深表歉意。
2.7,就是地理位置非常方便，其他的就是一般水平。短期出差可以，但家庭出行或者亲子旅游一定要慎重选择,尊敬的宾客，感谢您对酒店做出的评价，您的意见与建议是帮助我们不断提高服务与设施的重要工具，我们会继续努力，不断提高。期待您的再次入住！
2.7,靠地铁3号口很近 地铁口上下楼是扶手电梯 很方便 房间住的标间 进去有烟味 整洁度还行 挺宽敞 就是早餐不行 餐厅服务人员态度也不好 当着顾客的面议论人家 总体来说就是经济酒店的感觉吧,尊敬的宾客，感谢您的评价。您所反映的问题我们已经通知了相关部门。我们重视每一位宾客的意见和建议，并将不断努力为您提供更加优质的服务。真诚期待您再次光临！
1.5,垃圾的不行,无
2.7,服务不够完善，房间电话打不出去。,尊敬的宾客您好！非常感谢入住我们酒店，因酒店使用的联通设备出点故障，目前在调试阶段中，所以给您造成不便深表歉意！
2.5,网络不行，总是外网不行。内部广告网BesTV信号很强,尊敬的宾客，感谢您的评价。您所反映的问题我们已经通知了相关部门。我们重视每一位宾客的意见和建议，并将不断努力为您提供更加优质的服务。真诚期待您再次光临！
2.7,准备的雨伞非常少,尊敬的宾客，感谢您对酒店做出的评价，您的意见与建议是帮助我们不断提高服务与设施的重要工具。我们会继续努力，不断提高。期待您的再次入住！
2.7,酒店前台工作人员工作不认真，把责任推给客人，态度及其恶劣！,尊敬的宾客，您好！非常抱歉给您不好的入住体验，您所反馈的问题我们会反馈到相关部门，也一定会加强对员工的培训，希望您下次入住能够感受到我们真诚的服务
1.5,服务一般化,尊敬的宾客：您好！首先非常感谢入住我们酒店，您的意见与建议是帮助我们不断提高服务与设施的重要工具。我们会继续努力，不断提高。期待您的再次入住！
2.7,服务态度不太好。,尊敬的宾客，您所反映的问题我们已经告知了相关的部门。我们一直注重对员工服务意识的培训，愿您下次入住时会有更好的体验，期待您的下次入住
1.2,服务差、内装旧,尊敬的宾客：您好！非常遗憾没能给您好的入住体验，在服务细节上，酒店一定会加强管理，期待您在下次入住时，给到您不一样的入住体验。
1.7,早餐一般，去了都凉了，孩子不够1.2还要收费,尊敬的宾客，感谢您的评价。您所反映的问题我们已经通知了相关部门。我们重视每一位宾客的意见和建议，并将不断努力为您提供更加优质的服务。真诚期待您再次光临！
2.7,点评来源 Trip.com,整體一般般
1.7,除了地理位置，没有一项是好的，卫生间还有跳蚤，房间里总是一股子发霉的味道。图片是我早上发现的，都到我身上了,无
2.2,我昨天7月5号用微信收索同城艺龙预订这家宾馆，但未支付，后到前台支付296元，第二天又自动微信扣款296元，查询后台，无法退还与我。像这种情况我们该向谁诉求,无
1.5,服务差 设备老 位置还行吧,尊敬的宾客，感谢您的评价。您所反映的问题我们已经通知了相关部门。我们重视每一位宾客的意见和建议，并将不断努力为您提供更加优质的服务。真诚期待您再次光临！
1.5,🚗 交通：离地铁站近，周围附近都没什么的🧹卫生：其它很干净但是浴缸里有头发，镜子上有不明液体。🍃环境：周边啥都没有，很萧瑟，出游不建议选择。🔔服务：入住的时候只告知了早餐的位置，别人都不收押金，偏偏我收了，别人都有升级，偏偏我住的低，别人都可以延迟退房，偏偏我要12点，空调只能调到26℃，说是空调吹出来26℃，体感温度也就21℃，洗完澡出来差点冻s，害得我退房还要做核酸，接个充电线，前台说都借完了，疫情入住率都不高，怎么会借完了？？？早餐太差了。品种少，都不如快捷酒店，自始至终都没见过什么所谓的服务经理，退房问我住的怎么样，我说不怎么样，早餐不行，空调不热，没下文了。。。。房间里蓝牙音响也没了，绝了。,尊敬的宾客： Bonjour，您好！感谢惠赐有关下榻北京索菲特大酒店的宝贵意见。 您的意见已与我们的团队一起分享。我仅代表酒店向您表示我们最真切的歉意，并感谢您抽出宝贵的时间告知我们的不足之处，以便我们改进，我们愿在您的关注中进一步提高，希望此次经历不会影响到您对我们一贯的信任，真诚期待能够再次为您服务，祝您生活愉快。 再一次，感谢您提出不足之处，让我们能够加以改进和提高，我期待为您再次提供服务。
2.5,这是我住过的最差的五星酒店，11月6日北京室外温度零下一度，这个酒店房间里也就10度，一家三口都没洗澡，整个酒店不给暖风，早餐要穿着羽绒服吃，真想知道你们这是什么管理集团，这个酒店简直是恶心死了，这辈子不会再来这个酒店。,尊敬的宾客您好，感谢您入住北京索菲特大酒店，很抱歉此次未能给您带来满分的入住体验。针对您留言中所提到及到的客房和餐厅温度的问题，我们工程部同事会定期去测温以保证客人的舒适度，同时我们也会加大查房力度，继续提升硬件设施及服务。希望本次入住体验不会影响到您对我们的信任，我们期待您再次光临，祝您生活愉快。
1.7,感觉入住了一家假的索菲特，门口黑黑的，问了一下大堂是不是从这里进去，结果被反问一句大堂不在一楼在哪里。瞬时间无语，进去前台也是掉一张脸，去礼宾那里拿外卖，四个服务员在那里坐着嘻嘻哈哈。感觉入住了一家精选小酒店。体验感一点都不好,尊敬的陈先生，您好。我们感到非常抱歉在您入住期间给您带来了困扰和不便，针对您留言中所提到的问题，我们酒店管理层高度重视，第一时间与前厅经理沟通，今后我们将对员工加强专业技能和职业素养的培训，杜绝此类事件的再次发生。再次向您表示我们最真切的歉意，并感谢您抽出宝贵的时间告知我们的不足之处，以便我们改进，我们愿在您的关注中成长，希望此次经历不会影响到您对我们一贯的信任，真诚期待能够再次为您服务，祝您生活愉快。
2.5,酒店前身是w酒店，留下来的陈旧的设施和快过时的w夜店风，办理入住是下午4点后，里面什么高级房豪华房俱乐部房都是一样的，大厅门口全是灰特别大，很脏，房间内部打扫的也很马虎，比较失望，普通的5星酒店没有什么优势，很一般，不推荐。,"尊敬的宾客，您好。感谢您对近期在我们酒店的住宿体验提供反馈. 我们对于您提到的每个问题都高度重视，所以在看到您的留言后, 我们第一时间告知客房部门，加强卫生的检查与管理，很抱歉在卫生方面没有给您一个好的入住体验；关于房型问题，酒店提供的豪华客房、景观豪华客房以及索菲特俱乐部房型的区别是楼层不一样，楼层高的视野和景色会好一些，北京索菲特大酒店诚挚期待您与我们共同见证酒店的每一点进步，同时为您再一次的下榻提供百分百的完美体验，祝您生活愉快！"
1.5,1.早餐除了几个面包看上去像星级酒店，其他一些类似快捷酒店，炒米饭、煮面条还有几个类似剩菜的炒菜，看起来东西多，实际真没什么可以吃的，非常不值。2.叫了客服人员送个袋子，催了3次，一个小时来不了，无奈自己下楼取3.东西落在酒店，约好第二天去取，登记了姓名电话，第二天去了大堂人员所有人一问三不知，各种打电话问，找了一个小时。理由是，东西归客房部保管，那大堂接电话还登记预约有什么用？,尊敬的宾客：欢迎您下榻北京索菲特大酒店。并抽出宝贵的时间与我们分享您的入住体验。谢谢您与我们分享您的入住感受，我们珍惜每一位宾客的好评。北京索菲特大酒店地处朝阳区建国门南大街，位居市中心繁华的外交与商务区，距离天安门广场，秀水街丝绸市场和气势宏伟的紫禁城仅咫尺之遥，宾客出行便捷。关于您反映的问题，我们已提交相关负责人，并计划作出相应的调整并加强培训达到客人的期望。我仅代表酒店向您表示我们最真切的歉意，并感谢您抽出宝贵的时间告知我们的不足之处，以便我们改进，我们愿在您的关注中进一步提高，希望此次经历不会影响到您对我们一贯的信任，真诚期待能够再次为您服务，祝您生活愉快。再一次，感谢您提出不足之处，让我们能够加以改进和提高，我期待为您再次提供服务。
2.7,妥妥的差评！！我一般不到极致的不满意，是真的不想写差评的，毕竟总觉得浪费时间。本次北京出行25-27号入住北京索菲特大酒店，差评事迹如下：1、客房办理入住时间十分慢，大堂人员没有做好分流工作，导致办理入住时间等候时间过长。同时忘记带房卡补办房卡又需要重新排队，加重其他入住客户等候时间，旁边几个门童完全可以帮忙处理，但是一问三不知。2、办理完入住被告知要等到4点才可以入住（本人2点到达），交代完前台要将行李送上房间后，完全被无视，回来以后也是没有送上房间，还要自己拿。3、前台未做好提醒酒店不提供洗漱用品，如需可致电House keeping。到房间后致电保洁阿姨。送完牙刷后，需要矿泉水再次致电，阿姨送过来以后一脸黑，问到有东西需要？一起说吧。4、checking out后，发现遗漏ipad第一时间致电酒店，实习生答复我说没有找到，已经将明确位置告诉酒店，还是表示没有找到。来回致电了三次，最后值班经理说实习生听错了，找到了马上安排邮寄（值班经理服务态度较好）。后又转至一名男性职员，致电给我是否需要报价，一件简单的事情操作如此复杂，太不专业。最后27号操作寄回，7月30日才到（而且是到付）5、再说到行政酒廊区。点心基本差评，糕点感觉像隔夜。最最最无语的还是早餐，从来，从来没有在索菲特吃过这么差的早餐。好几个菜盆摆着同一样的菜，酒店有这么省吗？人本来就比较多，餐厅经理安排也是相当不到位，没有人排位，自己找位子。垃圾清理的也不及时。   综上，这是本人入住过的体验，建议酒店对标广州圣丰索菲特、佛山罗浮宫索菲特、昆明索菲特、杭州英冠索菲特。感觉还比不上某些城市雅高的美爵。这个服务完全配不上这个价钱！,尊敬的宾客： Bonjour，您好！感谢惠赐有关下榻北京索菲特大酒店的宝贵意见。 您的意见已与我们的团队一起分享。我仅代表酒店向您表示我们最真切的歉意，并感谢您抽出宝贵的时间告知我们的不足之处，以便我们改进，我们愿在您的关注中进一步提高，希望此次经历不会影响到您对我们一贯的信任，真诚期待能够再次为您服务，祝您生活愉快。 再一次，感谢您提出不足之处，让我们能够加以改进和提高，我期待为您再次提供服务。
2.7,墙皮都破了，也没人来开夜床服务。就这？觉得比w还会倒得快吧。,尊敬的宾客： Bonjour，您好！感谢惠赐有关下榻北京索菲特大酒店的宝贵意见。针对您留言中所反馈的问题，酒店管理层高度重视，并着令相关部门开展了调查。 我们期待您能够和我们的宾客服务经理取得联系，让我们能够进一步了解一下细节，以便针对您反馈的问题，做进一步跟进。 您的意见已与我们的团队一起分享。我们仅代表酒店向您表示我们最真切的歉意，并感谢您抽出宝贵的时间告知我们的不足之处，以便我们改进，我们愿在您的关注中进一步提高，希望此次经历不会影响到您对我们一贯的信任，真诚期待能够再次为您服务，祝您生活愉快。
2.7,首先说订房，订的豪华双床房，介绍携程钻石会员房型升级，给行政酒廊待遇。结果到店以后，豪华双床升级成了豪华双床，问有什么区别，说窗外景观的区别。。。两边都是低矮的楼房，不知道这种伪升级意义何在？问前台，说是不是赠送行政酒廊，说必须有雅高的会员才给。可是订单中完全没有这个要求啊。告诉了会员号，结果又是一个伪行政酒廊，在一楼大堂吧的最角落，靠着玻璃房，热死，晒死。只有咖啡，茶，一些苹果和梨，没有热食，酒店甚至都没有标出行政酒廊的指示。完全的滥竽充数。再说房间，酒店有点年份，设施比较陈旧。奇怪的是一个5星级酒店，洗衣袋这种简单的东西都要前台送，房间并不备。洗漱用品是LANVIN的，但是第二天补充的洗漱套装，不主动给润肤霜。让前台送一套洗漱用品过来，仍旧是没有润肤霜。感觉雅高是要倒闭了吗？同价位同五星的酒店，东方君悦比这家索菲特好太多了。非常不推荐。,尊敬的宾客：Bonjour，您好！感谢惠赐有关下榻北京索菲特大酒店的宝贵意见。首先，对于您所遇到的问题和不满意的地方，请接受我真诚的歉意。 关于您反映的问题，我们已提交相关负责人，并计划作出相应的调整并加强自查达到客人的期望。感谢您抽出宝贵的时间告知我们的不足之处，以便我们改进，我们愿在您的关注中进一步提高，希望此次经历不会影响到您对我们一贯的信任，真诚期待能够再次为您服务，祝您生活愉快。再一次，感谢您提出不足之处，让我们能够加以改进和提高，我期待为您再次提供服务。
1.5,前台一个男的吊儿郎当，态度极其不端正，专业知识匮乏。房间维护很差，卫生堪忧。就没遇到一个态度还可以的员工。,尊敬的宾客：Bonjour，您好！感谢惠赐有关下榻北京索菲特大酒店的宝贵意见。针对您留言中所反馈的问题，酒店管理层高度重视，烦请您提供可参考的细节或联系酒店宾客服务经理，以便酒店做进一步跟进。您的意见已与我们的团队一起分享。我们仅代表酒店向您表示我们最真切的歉意，我们愿在您的关注中进一步提高，希望此次经历不会影响到您对我们一贯的信任，真诚期待能够再次为您服务，祝您生活愉快。
2.2,五星酒店房间卫生死角多，停车收费，无人告知，进店住就消费100停车！送两张饮品卷就打发了！谁还差这点东西！下次不会来了。,尊敬的宾客：Bonjour，您好！感谢惠赐有关下榻北京索菲特大酒店的宝贵意见。鉴于您提出停车场收费问题，我们酒店在携程的设施和详情页上是有收费标准和介绍。酒店的停车场的收费是介于北京在二环及国贸范围同等级设施的收费体系上进行的定价。关于您反应的其他方面存在不足的环节，对此我们深表歉意，酒店也会针对有关方面做进一步完善。您的意见已与我们的团队一起分享。我们仅代表酒店再次向您表示感谢，我们愿在您的关注中进一步提高，真诚期待能够再次为您服务，祝您生活愉快。
1.2,早餐差，没有想象那么好！服务差，一天来敲门4-5次，烦**了！也是我第一次跟酒店服务人员发火的一次！还有到晚上六点退房收的我价格非常贵,尊敬的宾客您好，感谢您的宝贵意见，针对您提及的早餐问题，我们已与餐饮部分享，今后会不断提高服务质量，增加菜品品种，改善菜品品质。同时针对您所提及的服务人员多次敲门和六点延迟退房的问题，我们诚挚的邀请您在方便时拨打前台电话或者联系值班经理告诉我们您入住的房间号码，以便我们在今后的工作中做出改正。在最后，请您接受我们的真挚歉意，有机会希望能与您再次见面，祝您一切顺利。
1.5,住了这么多酒店，第一次见到酒店里开月子公司的，还把客人和月子公司安排在一层的。整个楼层好多房间门口都用矿泉水瓶子顶着门，从房间里往整个楼层弥漫的一股特别难闻的味道，楼道房间不通风那叫个臭，还有孩子的哭声。还有月嫂公司的人端着消毒托盘来回的楼上楼下工作，就这样的环境和卫生还不如快捷酒店呢。如果想挣钱完全可以把整个楼层全包出去，就别安排其他客人住了，省的互相影响。而且入住前你提前说明一下，我们换酒店就完事儿了。入住之后不问也不说，到前台问也不能换楼层。总之这次住宿让我对索菲特酒店是大失所望，唯一让我感觉对的起五星酒店的就是停车场的一个年轻小伙子每次都主动提供服务。,尊敬的宾客您好，感谢您近期下榻北京索菲特大酒店，并抽出宝贵时间与我们分享您的入住体验。鉴于您提及的问题，在平时酒店都会尽量为客人安排房间升级，鉴于酒店满房的状态下，我们非常无奈无法满足房间升级，造成的不便敬请谅解，同时也很开心看到您对酒店停车场服务人员的认可和满意。您的意见已与我们的团队一起分享。我们仅代表酒店再次向您表示感谢，我们愿在您的关注中进一步提高，真诚期待能够再次为您服务，祝您生活愉快。
2.7,早餐超级差，不是索菲特标准。厨师態度差。用塑料的器皿，我以为是茶歺厅！,尊敬的宾客： 您好，感谢您选择下榻北京索菲特大酒店并对本次入住给予评价。非常抱歉看到早餐的品质没有达到您的期望，我们重视每一位客人的宝贵意见，在此竭诚的向您致以歉意，您的意见也分享给相关部门并进行整改提高。真诚地欢迎您下一次光临。
1.5,小朋友住完一晚，全身各種過敏，唉。。。好心疼啊。。。,尊敬的宾客：Bonjour，您好！感谢惠赐有关下榻北京索菲特大酒店的宝贵意见。针对您留言中所反馈的问题，酒店管理层高度重视，并着令相关部门开展了调查。我们期待您能够和我们的宾客服务经理取得联系，让我们能够进一步了解一下细节，以便针对您反馈的问题，做进一步跟进。您的意见已与我们的团队一起分享。我们仅代表酒店向您表示我们最真切的歉意，并感谢您抽出宝贵的时间告知我们的不足之处，以便我们改进，我们愿在您的关注中进一步提高，希望此次经历不会影响到您对我们一贯的信任，真诚期待能够再次为您服务，祝您生活愉快。
2.2,对于一家五星酒店，员工服务意识太差，前台从来不会主动跟客人打招呼，更不会招呼你好更不用说您好了，房间电话打前台或服务台永远忙线中，开个发票还需要客人提醒才给流水和信封，早餐品种单一的比三星不如，反正差评。,尊敬的宾客您好，感谢您选择入住北京索菲特大酒店并抽出宝贵时间给予我们评价。非常遗憾和抱歉本次入住给您带来了不好的感受，您反馈的员工服务意识差的问题，我们在此竭诚的向您致以歉意，我们会加大相关对客服务意识的培训，杜绝问题再次发生。关于您留言中提及到的早餐品种单一的问题，我们诚挚的邀请您在方便的时候联系酒店前台或者值班经理，与我们分享您对早餐以及服务的意见，我们会认真聆听您的建议，并在未来持续优化。北京索菲特大酒店诚挚期待您与我们共同见证酒店的每一点进步，同时为您再一次的下榻提供百分百的完美体验，祝您生活愉快。
1.7,服务态度极差，是我住过最差的五星级酒店。酒店里服务员穿个黑西装一个个趾高气昂的样子，前台效率极低。这家酒店电梯也很有意思，显示到五楼实际上却到六楼，还不止一次是这种情况，以后再也不回来了,尊敬的宾客：Bonjour，您好！感谢惠赐有关下榻北京索菲特大酒店的宝贵意见。您的意见已与我们的团队一起分享。我仅代表酒店向您表示我们最真切的歉意，并感谢您抽出宝贵的时间告知我们的不足之处，以便我们改进，我们愿在您的关注中进一步提高，希望此次经历不会影响到您对我们一贯的信任，真诚期待能够再次为您服务，祝您生活愉快。再一次，感谢您提出不足之处，让我们能够加以改进和提高，我期待为您再次提供服务。
2.7,第一酒店吃早餐的地方很冷，好像在露天吃饭。得穿羽绒服吧。第二睡了一觉起来，枕头底下就是这？这是血迹啊。五星级酒店枕头底下有血，自己脑补吧！！！第三，我开一张发票，联系多次，迟迟开不出来，帮我核实核实丢了吗？这是什么态度呢？？？酒店W前身，装修什么的很W风，床品真的超级超级舒服毋庸置疑。除了床品这个酒店没有任何让我值得怀念的！！！,尊敬的宾客，很抱歉酒店未能给您提供一个舒适愉快的入住体验，针对您留言中所提到的餐厅冷的问题，我们工程部同事会定期去测温以保证客人的舒适度，同时我们也会加大查房力度，我们诚挚的邀请您在方便时拨打前台电话或者联系大堂经理告诉我们关于发票问题的具体细节，以便我们改正并帮您解决问题，再次感谢您选择入住北京索菲特大酒店，希望此次经历不会影响到您对我们一贯的信任，期待您的再次光临。
2.2,服务非常不好，房型不像五星级酒店，最无语的是停车场一小时收费10元，酒店前台有优惠券可以100元买24个小时，前台完全不停醒，也不问客人开车了没有，早饭非常一般，没什么可吃的，如果订房间的时候没带早饭的话可以去外面吃了。,尊敬的宾客您好，感谢您选择入住北京索菲特大酒店，也很感谢您抽出时间对您此次的入住体验进行评价。很抱歉这次的入住体验未能达到您的期望。今后我们会加强员工专业知识和沟通能力的培训，以确保为我们的客人提供明确清晰的服务说明。关于您反映的早餐问题，我们已与餐饮部分享，今后会不断提高服务质量，增加菜品品种，改善菜品品质。如果您有对菜品的建议，我们诚挚的邀请您在方便的时候告知我们。再次感谢您入住北京索菲特大酒店，我和我的团队真诚的期待在不久的将来，能够再次欢迎您的到来并见证我们的进步。
2.7,由于已经不是W，所以各个方面都很差，索菲特只是把楼层房间外装修了一下，屋里还是W的装修没有变化…要说的就是缺点：1马桶下水声音非常大，影响睡眠2房间热死东部提供冷风，只有热风3淋雨水压非常小，是我住过北京五星级里最小的水压，没有之一，滴滴啦啦的洗澡一点都不舒服…非常差的体验…4退房时间别的五星都可以两点退房，他要下午1:30之前…不知道是什么规定…总而言之没有五星的样子,尊敬的宾客您好，感谢您选择入住北京索菲特大酒店并抽出宝贵时间给予我们评价。很抱歉此次未能给您带来满分的入住体验，在某些方面做得仍不完美，您反馈的设施设备以问题已经反馈给工程部，工程部会进行全面的排查，杜绝问题再次发生，由于我们工作上的失误在您入住前未发现个别房间水压问题给您带来了不便，如您方便请与我们联系告知我们房间号，届时希望您光临指正，给我们一个改进的机会。再次感谢您的评价，祝您生活愉快！。
